Player,EVENTS PLAYED,PGA TOUR WINS,INTERNATIONAL WINS,CUTS MADE,RUNNER UP,THIRD PLACE FINISHES,TOP 5 FINISHES,TOP 10 FINISHES,YEAR JOINED TOUR,OFFICIAL MONEY,ALL WINS,FEDEXCUP CHAMPION
Rich Barcelo,84,0,0,33/84,0,0,1,1,-,"$764,178",,
Derek Bard,4,0,0,0/4,0,0,0,0,-,$0,,
Jakub Bares,,,,,,,,,,,,
Paul Barjon,62,0,0,20/62,0,0,1,2,2022,"$871,826",,
Jim Barker,51,0,0,16/51,0,0,0,0,-,"$5,704",,
Paul Barkhouse,41,0,0,14/41,0,0,0,0,-,"$4,792",,
Craig Barlow,306,0,0,167/306,0,3,7,15,1998,"$5,236,816",,
Erik Barnes,42,0,0,14/42,1,0,1,2,2023,"$1,171,525",,
Ricky Barnes,353,0,0,186/353,1,3,11,19,2009,"$8,995,860",,
Jim Barnes,95,22,0,93/95,14,9,51,73,-,$388,,
John Barnum,179,1,0,167/179,0,2,8,25,-,"$34,252",,
Jerry Barrier,60,0,0,33/60,0,0,1,2,-,"$17,191",,
Dave Barr,526,2,0,320/526,4,4,16,37,-,"$2,404,793",,
"Ray Barr, Jr.",114,0,0,43/114,0,0,0,2,-,"$136,696",,
Todd Barranger,66,0,0,23/66,0,0,0,0,-,"$253,367",,
Doug Barron,238,0,0,111/238,0,1,5,12,-,"$2,724,280",,
Art Bartlett,3,1,0,2/3,0,0,1,1,-,$0,,
Herman Barron,212,3,0,199/212,8,6,35,81,-,"$53,513",,
Chris Baryla,33,0,0,6/33,0,0,0,1,2010,"$225,092",,
Richard Bassett,85,0,0,37/85,0,0,1,1,-,"$12,493",,
Harry Bassler,46,0,0,41/46,0,2,5,11,-,"$7,734",,
Charles Bassler,52,0,0,46/52,1,1,2,6,-,"$8,823",,
Bob Batdorff,49,0,0,34/49,0,0,1,3,-,"$11,073",,
Brian Bateman,212,1,0,92/212,0,2,3,4,-,"$3,869,324",,
Ben Bates,122,0,0,65/122,0,0,0,3,-,"$882,422",,
Pat Bates,134,0,0,63/134,0,0,1,5,-,"$1,390,991",,
Eric Batten,44,0,0,20/44,0,0,0,1,-,"$28,168",,
Beau Baugh,92,0,0,45/92,0,0,0,1,-,"$72,809",,
Rex Baxter,250,1,0,209/250,2,3,11,25,-,"$119,743",,
Gary Bauer,28,0,0,23/28,0,0,0,0,-,"$4,886",,
George Bayer,374,3,0,337/374,12,7,37,65,-,"$188,532",,
Frank Beard,538,11,0,389/538,13,9,53,104,-,"$1,018,442",,
Andy Bean,588,11,0,343/588,15,8,55,103,-,"$3,531,780",,
Chip Beck,606,4,1,345/606,18,14,45,80,1979,"$6,205,730",,
Avery Beck,43,0,0,31/43,0,0,0,0,-,"$2,043",,
Evan Beck,1,0,0,0/1,0,0,0,0,-,$0,,
Larry Beck,45,0,0,34/45,1,0,2,2,-,"$8,338",,
Cameron Beckman,429,3,0,230/429,1,2,11,23,1999,"$9,870,919",,
Notah Begay III,217,4,0,98/217,0,2,9,14,-,"$5,207,339",,
Rich Beem,364,3,0,171/364,3,2,10,18,1998,"$9,656,392",,
Russell Beiersdorf,45,0,0,28/45,0,0,1,1,-,"$171,193",,
Frank Beley,32,0,0,20/32,0,0,0,0,-,"$1,390",,
Sammy Belfore,1,1,0,1/1,0,0,1,1,-,$0,,
Charlie Beljan,146,1,0,46/146,1,2,4,6,2012,"$3,864,894",,
Art Bell,39,0,0,37/39,1,1,5,12,-,"$4,806",,
Brad Bell,50,0,0,10/50,0,0,0,0,-,"$38,264",,
Mike Bender,67,0,0,26/67,0,0,0,0,-,"$64,611",,
Jim Benepe,123,1,0,38/123,0,1,2,3,-,"$395,214",,
Deane Beman,222,4,1,153/222,5,2,14,39,1967,"$370,003",,
Aaron Bengoechea,31,0,0,8/31,0,0,0,0,-,"$60,429",,
Daniel Berger,217,4,0,163/217,8,4,26,42,2015,"$28,532,114",,
"David Berganio, Jr.",158,0,0,71/158,1,1,3,6,1997,"$1,766,499",,
Bill Bergin,48,0,0,16/48,0,0,1,2,-,"$49,411",,
Sam Bernardi,29,0,0,18/29,0,0,0,1,-,"$2,087",,
George Bernardin,54,0,0,48/54,0,0,0,0,-,"$2,028",,
Shane Bertsch,195,0,0,90/195,0,0,2,5,1997,"$2,571,920",,
Scott Bess,27,0,0,8/27,0,0,0,0,-,"$7,071",,
Al Besselink,375,4,0,287/375,6,5,22,48,-,"$119,183",,
Bob Betley,28,0,0,9/28,0,0,0,0,-,"$8,087",,
Charlie Betschler,4,1,0,4/4,1,0,2,2,-,$0,,
Matt Bettencourt,163,1,0,70/163,0,0,3,6,2009,"$2,874,771",,
Josh Bevell,1,0,0,0/1,0,0,0,0,-,$0,,
Christiaan Bezuidenhout,109,0,5,83/109,2,0,4,7,2022,"$11,160,191",,
Akshay Bhatia,80,2,0,49/80,2,1,7,12,2023,"$10,506,962",,
Gaganjeet Bhullar,6,0,15,5/6,0,0,0,0,-,"$106,295",,
Leo Biagetti,193,0,0,166/193,1,0,5,12,-,"$25,324",,
Roy Biancalana,72,0,0,25/72,0,0,0,0,-,"$68,327",,
Tommy Biershenk,30,0,0,11/30,0,0,0,0,-,"$107,266",,
Don Bies,327,1,0,252/327,4,4,15,35,-,"$546,117",,
George Bigham,71,0,0,59/71,0,0,0,3,-,"$5,609",,
Fred Biondi,10,0,0,5/10,0,0,0,0,-,"$285,314",,
John Bird,18,1,0,12/18,2,0,5,7,-,$0,,
Bill Bisdorf,62,0,0,46/62,0,1,2,2,-,"$9,614",,
Don Bisplinghoff,55,0,0,46/55,0,0,0,0,-,"$2,895",,
Jack Bissegger,27,0,0,15/27,0,0,0,0,-,$690,,
Lucas Bjerregaard,31,0,5,13/31,0,0,1,1,2020,"$682,581",,
Alexander Björk,28,0,2,14/28,0,0,0,0,-,"$563,395",,
Thomas Bjørn,118,0,19,81/118,4,1,7,12,2002,"$4,720,742",,
Henrik Bjornstad,58,0,0,26/58,0,0,0,1,-,"$706,956",,
Dave Black,13,2,0,13/13,1,2,8,10,-,$166,,
Doug Black,70,0,0,17/70,0,0,0,1,-,"$28,483",,
John Black,32,0,0,30/32,2,0,5,15,-,$671,,
Ken Black,2,1,0,2/2,0,0,1,1,-,$0,,
Ronnie Black,556,2,0,325/556,2,3,15,30,1982,"$3,155,053",,
Mike Blackburn,37,0,0,13/37,0,0,0,0,-,"$21,829",,
Woody Blackburn,325,2,0,121/325,1,0,3,5,-,"$310,231",,
Phil Blackmar,443,3,0,237/443,2,5,17,30,1985,"$3,245,909",,
Zac Blair,208,0,0,116/208,2,1,6,10,2015,"$7,774,886",,
"J. Blair, III",29,0,0,22/29,0,1,1,1,-,$0,,
Jay Don Blake,500,1,1,310/500,5,2,18,36,1987,"$5,563,065",,
Jack Blakeslee,12,1,0,10/12,1,0,2,4,-,$0,,
Homero Blancas,422,4,0,315/422,6,6,33,73,-,"$671,251",,
Kris Blanks,120,0,0,55/120,2,0,3,7,2009,"$3,192,702",,
Bill Blanton,81,0,0,59/81,0,0,0,1,-,"$5,424",,
Julian Blanton,18,1,0,14/18,1,0,2,5,-,$0,,
Ryan Blaum,115,0,0,63/115,0,0,1,5,2017,"$2,949,193",,
Jonas Blixt,235,3,0,119/235,1,3,9,13,2012,"$10,500,435",,
Ralph Blomquist,130,0,0,123/130,0,1,3,10,-,"$16,836",,
Chris Blocker,204,0,0,153/204,3,1,8,13,-,"$129,528",,
Michael Block,32,0,0,5/32,0,0,0,0,-,"$326,371",,
Steve Bogan,28,0,0,15/28,0,0,0,0,-,"$7,933",,
Marty Bohen,62,0,0,38/62,0,0,0,0,-,"$19,472",,
Bob Boldt,40,0,0,14/40,0,0,0,1,-,"$3,529",,
Rob Boldt,27,0,0,11/27,0,0,0,0,-,"$52,992",,
Jason Bohn,371,2,3,220/371,10,4,18,30,2004,"$16,062,113",,
George Bolesta,43,0,0,41/43,0,0,0,3,-,"$3,860",,
Justin Bolli,105,0,0,36/105,0,0,3,3,2005,"$1,313,926",,
Charles Bolling,134,0,0,52/134,0,0,0,4,-,"$181,884",,
Tommy Bolt,431,15,0,383/431,11,19,67,128,-,"$320,811",,
David Bollman,44,0,0,22/44,0,0,0,0,-,"$6,559",,
Gene Bone,59,0,0,38/59,0,0,1,2,-,"$7,870",,
Paul Bondeson,171,0,0,132/171,2,3,8,17,-,"$82,875",,
Lee Bonse,27,0,0,9/27,0,0,0,0,-,"$4,482",,
Billy Booe,28,0,0,15/28,0,0,0,0,-,$55,,
Eric Booker,71,0,0,30/71,0,1,3,3,-,"$499,203",,
Jim Booros,246,0,0,117/246,0,1,4,9,-,"$458,668",,
Gene Borek,44,0,0,26/44,0,0,0,1,-,"$21,413",,
Guy Boros,,,,,,,,,,,,
Julius Boros,579,18,0,515/579,17,20,99,173,1950,"$995,762",,
Ernest Boros,46,0,0,27/46,0,0,0,0,-,"$1,624",,
Marcus Both,5,,3,4/5,0,0,0,0,,"$33,561",0,
Rafe Botts,151,0,0,75/151,0,0,1,2,-,"$23,152",,
Grégory Bourdy,16,0,6,13/16,0,0,0,0,-,"$398,975",,
Bob Bourne,39,0,0,22/39,0,0,0,1,-,"$7,805",,
George Boutell,98,0,0,63/98,0,0,0,3,-,"$29,038",,
Craig Bowden,152,0,0,54/152,0,0,0,2,1997,"$1,278,048",,
George Bowden,23,2,0,20/23,1,0,4,10,-,$50,,
Steven Bowditch,220,2,3,84/220,2,0,4,6,2006,"$6,839,023",,
Gary Bowerman,37,0,0,24/37,0,0,0,0,-,"$10,723",,
Charlie Bowles,58,0,0,17/58,0,0,1,1,-,"$69,687",,
Bob Boyd,102,0,0,35/102,0,0,0,1,-,"$99,963",,
Steve Bowman,48,0,0,23/48,0,0,0,1,-,"$55,537",,
Tom Boyd,48,1,0,46/48,0,1,4,10,-,$50,,
Frank Boynton,191,0,0,160/191,2,1,6,14,-,"$84,540",,
Dominic Bozzelli,96,0,0,42/96,0,1,3,6,2017,"$2,225,502",,
Keegan Bradley,363,7,0,279/363,11,2,38,61,-,"$49,568,386",,
Jackson Bradley,98,0,0,82/98,1,0,3,11,-,"$15,772",,
Michael Bradley,402,4,2,205/402,2,3,11,21,1993,"$5,672,529",,
Monte Bradley,43,0,0,33/43,0,0,0,4,-,"$8,462",,
Joseph Bramlett,162,0,0,88/162,0,1,1,6,2011,"$4,404,008",,
Mike Brady,94,9,0,91/94,9,4,32,54,-,$923,,
Michael Brannan,129,0,0,53/129,1,0,3,8,-,"$141,485",,
David Branshaw,90,0,1,42/90,0,0,2,3,-,"$1,335,814",,
Bill Brask,49,0,0,26/49,0,0,0,0,-,"$12,464",,
Ryan Brehm,147,1,0,60/147,0,1,2,2,2017,"$2,731,195",,
Alan Bratton,35,0,0,6/35,0,0,0,0,-,"$80,998",,
Jeff Brehaut,229,0,0,118/229,0,1,4,12,-,"$3,727,340",,
Gay Brewer,636,10,0,477/636,21,6,60,110,-,"$800,914",,
Jacob Bridgeman,42,0,0,27/42,1,1,2,2,-,"$3,285,829",,
Danny Briggs,173,0,0,72/173,0,1,1,5,-,"$916,591",,
Mike Bright,38,0,0,13/38,0,0,0,0,-,"$34,509",,
Eldon Briggs,57,0,0,42/57,0,0,0,0,-,$665,,
D.J. Brigman,99,0,0,45/99,0,0,0,0,-,"$1,111,489",,
Bill Britton,416,1,0,223/416,4,3,10,23,-,"$1,814,615",,
Mike Brisky,189,0,0,92/189,2,1,6,12,-,"$1,646,763",,
John Brodie,29,0,0,9/29,0,0,0,0,-,$285,,
Steve Brodie,37,0,0,18/37,0,0,0,1,-,"$123,542",,
Mark Brooks,803,7,0,430/803,4,8,29,58,1983,"$9,455,441",,
Al Brosch,131,0,0,125/131,1,5,10,27,-,"$19,268",,
Billy Ray Brown,315,3,0,152/315,4,6,14,16,-,"$2,330,389",,
Blades Brown,5,0,0,2/5,0,0,0,0,-,"$35,159",,
Cliff Brown,72,0,0,46/72,0,0,1,1,-,"$12,311",,
Joe Brown,66,0,0,46/66,0,0,2,3,-,"$2,110",,
Ken Brown,117,1,0,78/117,1,0,4,10,-,"$507,919",,
Mark Brown,7,0,2,0/7,0,0,0,0,-,$0,,
Mark Brown,7,0,0,6/7,0,0,0,0,-,"$81,641",,
Pete Brown,356,2,0,225/356,3,1,11,22,-,"$214,884",,
Olin Browne,454,3,0,262/454,1,2,10,25,-,"$8,523,672",,
Scott Brown,304,1,0,163/304,3,2,16,25,2012,"$10,875,266",,
Bob Brue,128,0,0,90/128,1,0,1,6,-,"$41,729",,
Greg Bruckner,72,0,2,34/72,0,0,0,0,-,"$140,356",,
Bob Bruno,108,0,0,68/108,0,0,0,1,-,"$10,610",,
Wesley Bryan,134,1,0,68/134,1,1,5,9,2017,"$5,247,630",,
Bart Bryant,317,3,1,197/317,2,1,8,16,1991,"$9,713,852",,
Andrew Buckle,44,0,1,21/44,0,0,1,1,2007,"$702,391",,
Brad Bryant,565,1,0,338/565,7,5,25,49,-,"$3,558,804",,
Jason Buha,55,0,0,19/55,0,0,0,0,-,"$226,696",,
Hayden Buckley,98,0,0,48/98,1,0,5,8,2022,"$4,962,355",,
Johnny Bulla,249,1,0,227/249,7,10,38,81,-,"$1,196,288",,
Bronson Burgoon,142,0,0,66/142,2,0,3,5,2016,"$4,114,381",,
Billy Burke,170,11,0,156/170,9,13,49,80,-,"$18,508",,
Patrick Burke,151,0,0,76/151,0,1,1,5,-,"$729,584",,
Ed Burke,38,1,0,32/38,1,0,2,6,-,"$2,866",,
"Jack Burke, Jr.",338,16,0,311/338,21,12,66,122,-,$0,,
"Michael Burke, Jr.",27,0,0,3/27,0,0,0,0,-,"$10,685",,
"Jack Burke, Sr.",45,2,0,36/45,1,3,9,18,-,$967,,
Walter Burkemo,205,2,0,185/205,5,4,24,41,-,"$89,593",,
Bob Burns,273,1,0,127/273,0,1,3,9,-,"$3,313,226",,
George Burns,517,4,0,310/517,8,6,35,66,-,"$1,781,090",,
Sam Burns,168,5,0,118/168,4,3,16,37,2019,"$29,364,159",,
Clark Burroughs,130,0,0,61/130,1,0,1,4,-,"$316,663",,
Kevin Burton,32,0,0,12/32,0,0,0,1,-,"$83,279",,
Bob Byman,150,1,0,65/150,0,0,1,4,-,"$161,884",,
Peter Butler,30,0,0,19/30,0,0,0,0,-,"$12,332",,
Bill Buttner,165,0,0,72/165,0,0,1,2,-,"$303,212",,
Jonathan Byrd,486,5,0,283/486,3,6,26,46,2002,"$20,420,201",,
Ed Byman,36,0,0,10/36,0,0,0,1,-,"$6,628",,
Sam Byrd,145,6,0,141/145,14,8,43,71,-,"$55,705",,
Curt Byrum,371,1,0,202/371,2,2,10,19,-,"$1,576,535",,
Ángel Cabrera,289,3,41,174/289,1,1,13,26,2007,"$14,583,622",,
Rafa Cabrera Bello,143,0,6,99/143,0,4,10,15,2017,"$8,706,301",,
Tom Byrum,603,1,0,330/603,6,5,18,41,1984,"$6,554,699",,
George Cadle,273,0,0,160/273,1,2,11,19,-,"$362,543",,
Steve Cain,34,0,0,14/34,0,0,0,0,-,"$4,243",,
Mark Calcavecchia,762,13,6,527/762,27,17,84,142,1982,"$24,216,436",,
Brian Cairns,7,0,0,1/7,0,0,0,0,-,$0,,
Rex Caldwell,427,1,0,256/427,5,5,22,36,-,"$1,043,403",,
Bill Calfee,191,0,0,106/191,0,0,1,7,-,"$196,147",,
Brian Campbell,34,1,0,14/34,0,0,1,1,2017,"$1,817,541",,
Roger Calvin,84,0,0,41/84,0,0,0,1,-,"$43,983",,
Chad Campbell,496,4,0,327/496,12,6,30,57,2001,"$26,817,362",,
David Campbell,2,1,0,2/2,0,0,1,1,-,$0,,
Joe Campbell,235,3,0,206/235,7,6,22,42,-,"$171,633",,
Doug Campbell,48,0,0,10/48,0,0,0,0,-,"$8,648",,
Michael Campbell,104,1,0,50/104,1,1,5,10,-,"$3,321,932",,
William Campbell,37,0,0,13/37,0,0,0,0,-,$0,,
Jorge Campillo,31,0,3,16/31,0,0,1,1,-,"$642,252",,
Alejandro Cañizares,29,0,2,16/29,0,0,1,1,-,"$477,403",,
Rafael Campos,95,1,0,37/95,1,1,3,7,2020,"$3,211,823",,
David Canipe,217,0,0,94/217,0,2,4,8,-,"$566,997",,
Patrick Cantlay,190,8,0,164/190,10,9,41,60,2014,"$50,968,706",,2021
Laurie Canter,10,0,2,6/10,0,0,0,0,-,"$421,274",,
Frankie Capan III,15,0,0,6/15,0,0,0,0,2025,"$321,192",,
Sebastian Cappelen,44,0,0,16/44,0,0,0,1,2020,"$569,246",,
Billy Capps,30,0,0,22/30,0,0,0,0,-,$851,,
Miguel Angel Carballo,80,0,2,34/80,0,0,0,1,2012,"$858,603",,
James Carberry,28,0,0,23/28,0,0,0,2,-,$275,,
Sam Carmichael,129,0,0,93/129,2,0,3,7,-,"$45,435",,
Joe Cardenas,26,0,0,11/26,0,0,0,0,-,"$1,566",,
Dick Carmody,48,0,0,24/48,0,0,0,0,-,"$6,366",,
Mark Carnevale,212,1,0,86/212,1,0,4,5,-,"$906,925",,
Jason Caron,65,0,0,21/65,0,0,0,0,-,"$324,300",,
Joe Carr,139,0,0,79/139,0,0,0,2,-,"$36,329",,
Jim Carter,461,1,0,269/461,0,4,13,26,-,"$4,766,778",,
Tom Carter,45,0,0,22/45,0,0,0,0,-,"$500,923",,
Billy Casper,584,51,14,495/584,31,21,149,236,1955,"$1,691,583",,
Paul Casey,304,3,16,234/304,10,6,41,69,-,"$36,620,072",,
Henry Castillo,32,0,0,27/32,0,0,0,0,-,"$1,292",,
Ricky Castillo,13,0,0,7/13,0,0,0,0,2025,"$402,965",,
Roberto Castro,192,0,0,115/192,2,1,6,12,2012,"$7,463,260",,
Gil Cavanaugh,34,0,0,26/34,0,0,0,1,-,"$1,302",,
John Catlin,14,0,12,5/14,0,0,0,0,-,"$307,381",,
Bud Cauley,210,0,0,132/210,0,3,15,27,2012,"$11,484,018",,
Alex Cejka,418,1,11,239/418,4,2,12,33,2003,"$12,940,761",,
Antonio Cerda,257,0,0,136/257,0,0,0,7,-,"$247,630",,
Ron Cerrudo,271,2,0,207/271,0,2,7,16,-,"$228,199",,
Jon Chaffee,117,0,0,39/117,0,0,0,3,-,"$70,203",,
Greg Cesario,27,0,0,7/27,0,0,0,0,-,"$15,333",,
Tom Chain,36,0,0,11/36,0,0,0,0,-,"$10,813",,
Greg Chalmers,485,1,5,267/485,2,0,13,24,1999,"$10,882,309",,
Brandel Chamblee,370,1,0,188/370,4,2,11,25,-,"$4,018,410",,
Cameron Champ,155,3,0,73/155,0,0,3,12,2019,"$8,605,049",,
Jim Chancey,93,0,0,43/93,0,1,1,2,-,"$43,100",,
Warren Chancellor,30,0,0,3/30,0,0,0,0,-,$616,,
Will Chandler,11,0,0,4/11,0,0,0,1,2025,"$412,983",,
Kevin Chappell,307,1,0,193/307,6,3,12,29,2011,"$17,635,011",,
Dick Chapman,49,0,0,35/49,0,0,2,5,-,$0,,
Lee Chase,3,1,0,3/3,0,0,1,1,-,$0,,
SSP Chawrasia,7,0,16,7/7,0,0,0,0,-,"$41,720",,
Bob Charles,293,6,15,248/293,8,5,31,61,-,"$546,868",,
T.C. Chen,131,1,0,79/131,2,0,3,13,-,"$616,303",,
Barry Cheesman,220,0,0,82/220,0,1,3,7,-,"$1,285,205",,
Andre Chi,1,0,0,0/1,0,0,0,0,-,$0,,
Don Cherry,115,0,0,77/115,0,0,0,3,-,"$6,896",,
Louis Chiapetta,20,2,0,16/20,1,1,4,7,-,$295,,
Alex Chisholm,4,1,0,3/4,0,0,2,3,-,$0,,
John Chin,25,0,0,8/25,0,1,1,1,2019,"$300,798",,
Ho Sung Choi,3,0,5,0/3,0,0,0,0,-,$0,,
K.J. Choi,498,8,11,337/498,7,5,36,68,2000,"$32,803,596",,
Sam Choi,3,0,0,1/3,0,0,0,0,-,"$18,200",,
Seungbin Choi,,,,,,,,,,,,
Daniel Chopra,291,2,9,136/291,1,1,7,17,2004,"$8,007,885",,
George Christ,44,0,0,39/44,2,2,6,18,-,$729,,
Gary Christian,41,0,0,21/41,0,0,0,1,2012,"$691,789",,
Austen Christiansen,1,0,0,0/1,0,0,0,0,-,$0,,
Neil Christian,37,4,0,36/37,4,1,11,16,-,"$2,092",,
Michael Christie,63,0,0,22/63,0,0,0,2,-,"$233,473",,
Stewart Cink,689,8,0,506/689,11,9,53,105,1997,"$43,905,340",,
Pat Circelli,25,0,0,21/25,0,1,2,5,-,$677,,
Henry Ciuci,100,6,0,95/100,5,6,27,46,-,"$2,364",,
Bobby Clampett,396,1,0,224/396,6,4,20,33,1980,"$1,423,000",,
